id|user_id|latitude|longitude|height|download_speed|upload_speed|ping|download_speed_sum|upload_speed_sum|ping_sum|measurement_count|building_name|timestamp|color
1||51.1097648874251|17.058033930775|121.816562492511|39.1764705882353|21.1176470588235|30|666.0|359.0|523|17|D-21|2025-06-23 14:52:25.189895|#E4A316
2||51.1098424980178|17.0579146318884|144.938077752332|34.0|14.0|211|68.0|28.0|422|2|Politechnika Wrocławska|2025-06-23 14:43:32.775760|#B22D2D
3||51.1098751943058|17.0578646359767|144.938077752332|28.6|16.2|30|286.0|162.0|302|10|Politechnika Wrocławska|2025-06-23 14:47:57.178256|#E4A316
4||51.1096531948167|17.0578265626686|144.938077752332|26.75|18.75|24|107.0|75.0|97|4|D-21|2025-06-23 14:53:46.147707|#E4A316
5||51.1095982562441|17.0578197529443|144.938077752332|30.96|17.2|30|774.0|430.0|763|25|D-21|2025-06-23 14:47:08.654802|#E4A316
6||51.1098068|17.0583941|168.200012207031|12.8888888888889|10.7777777777778|40|116.0|97.0|363|9|D-21|2025-06-23 14:50:57.215520|#B22D2D
7||51.1097248926159|17.058069457636|149.278077752332|37.6|19.4|47|188.0|97.0|239|5|D-21|2025-06-23 14:53:14.886959|#E4A316
8||51.109803701728|17.057992888752|150.398077752332|14.0|12.6666666666667|33|42.0|38.0|101|3|D-21|2025-06-23 14:53:17.093188|#B22D2D
9||51.1097105344654|17.0578448388328|150.398077752332|17.0|17.5|74|34.0|35.0|148|2|D-21|2025-06-23 14:54:19.949135|#B22D2D
10||51.109548|17.0576366|172.100006103516|17.0|10.0|54|51.0|30.0|164|3|D-21|2025-06-23 14:54:31.123509|#B22D2D
11||51.1094768109943|17.0577769720853|150.398077752332|11.0|16.5|56|22.0|33.0|112|2|D-21|2025-06-23 14:54:45.534667|#B22D2D
12||51.1095851|17.0575147|171.100006103516|21.0|12.0|43|21.0|12.0|43|1|D-21|2025-06-23 14:54:57.512473|#B22D2D
13||51.1095445914396|17.0577957627112|150.398077752332|42.1111111111111|20.8888888888889|41|379.0|188.0|370|9|D-21|2025-06-23 14:57:08.251577|#E4A316
14||51.1093399955139|17.0603919809053|124.893111609165|2.0|3.0|33|2.0|3.0|33|1|Politechnika Wrocławska|2025-06-24 09:52:17.193753|#B22D2D
15||51.1092205894921|17.0604392172083|124.999361801263|5.0|5.0|36|5.0|5.0|36|1|C-1|2025-06-24 09:53:50.168786|#B22D2D
16||51.1089376283288|17.0604151916374|125.360364335584|10.0|11.0|23|20.0|22.0|47|2|C-3|2025-06-24 10:05:22.448055|#B22D2D
17||51.108870060778|17.0603540859485|125.318951123521|24.8|3.6|57|124.0|18.0|288|5|C-3|2025-06-24 10:17:24.398963|#B22D2D
18||51.1090892226827|17.0600262375208|125.282661842594|33.5|4.0|19|134.0|16.0|78|4|Politechnika Wrocławska|2025-06-24 10:03:40.949277|#B22D2D
19||51.1089981|17.0606419|161.900009155273|2.0|7.0|71|2.0|7.0|71|1|C-1|2025-06-24 09:56:07.415750|#B22D2D
20||51.1089628073126|17.0605796005506|125.580978562124|11.0|9.5|53|22.0|19.0|106|2|C-1|2025-06-24 11:55:04.926980|#B22D2D
21||51.1091264|17.0605043|161.900009155273|7.0|10.0|65|7.0|10.0|65|1|C-1|2025-06-24 09:56:56.160864|#B22D2D
22||51.1090414419057|17.0605443180879|127.033127623313|15.0|22.0|45|15.0|22.0|45|1|C-1|2025-06-24 09:56:59.357723|#B22D2D
23||51.1091374130508|17.0596184720518|124.853152944045|32.0|5.0|19|32.0|5.0|19|1|C-4|2025-06-24 09:56:59.386106|#B22D2D
24||51.1094531474888|17.060021152014|124.227286495897|53.0|31.0|18|53.0|31.0|18|1|Politechnika Wrocławska|2025-06-24 09:57:52.029438|#E4A316
25||51.1093949|17.0599072|161.000015258789|21.8|13.0|37|109.0|65.0|187|5|C-16|2025-06-24 10:07:23.986210|#B22D2D
26||51.1094606649691|17.0599392046475|124.227488674852|22.0|21.0|22|22.0|21.0|22|1|Politechnika Wrocławska|2025-06-24 09:58:09.661921|#E4A316
27||51.1092408238509|17.0596464981575|124.614368165848|4.0|2.0|37|4.0|2.0|37|1|C-16|2025-06-24 09:58:18.200090|#B22D2D
28||51.1095274391683|17.0597669340257|124.170876786153|31.0|20.0|32|31.0|20.0|32|1|Politechnika Wrocławska|2025-06-24 09:58:23.153220|#E4A316
29||51.1093475|17.0598193|161.000015258789|23.0769230769231|12.3846153846154|51|300.0|161.0|664|13|C-16|2025-06-24 10:09:33.862000|#B22D2D
30||51.1092101449277|17.0592221868676|124.519206222365|26.0|16.0|18|26.0|16.0|18|1|Politechnika Wrocławska|2025-06-24 09:58:33.993702|#E4A316
31||51.1092031599409|17.0591489998206|124.519202407668|29.0|16.0|20|29.0|16.0|20|1|Politechnika Wrocławska|2025-06-24 09:58:40.791305|#E4A316
32||51.1091995617092|17.0591011193184|124.519210037063|28.5|16.0|21|57.0|32.0|43|2|C-5|2025-06-24 10:11:43.509136|#E4A316
33||51.1094834239399|17.0598152742339|124.172615356445|58.5|26.0|17|117.0|52.0|35|2|Politechnika Wrocławska|2025-06-24 09:59:00.796304|#E4A316
34||51.1094791003415|17.0598211234897|124.174144721254|43.8|21.4|25|219.0|107.0|129|5|C-16|2025-06-24 10:05:50.275840|#E4A316
35||51.1092045495812|17.0588455285589|123.417984168397|21.3333333333333|12.6666666666667|23|64.0|38.0|69|3|C-5|2025-06-24 10:12:22.066537|#B22D2D
36||51.1092357739645|17.0587648450817|123.548524610191|27.0|15.0|22|27.0|15.0|22|1|Politechnika Wrocławska|2025-06-24 09:59:19.171913|#E4A316
37||51.1094984132237|17.0597468491542|124.174259162172|49.6666666666667|26.0|21|149.0|78.0|63|3|C-16|2025-06-24 10:05:34.222402|#E4A316
38||51.1095748688249|17.0594730637222|123.287358633457|43.8571428571429|21.2857142857143|24|307.0|149.0|174|7|Politechnika Wrocławska|2025-06-24 10:00:54.382442|#E4A316
39||51.1094319|17.0596448|161.000015258789|24.375|13.5|69|195.0|108.0|558|8|C-16|2025-06-24 10:09:58.805615|#B22D2D
40||51.1095576376817|17.0594825721719|123.914107784631|38.125|21.5|28|305.0|172.0|225|8|C-16|2025-06-24 10:05:15.808459|#E4A316
41||51.1095865257181|17.0594121071049|124.035862309105|51.0|23.75|24|204.0|95.0|97|4|C-16|2025-06-24 10:05:03.421893|#E4A316
42||51.1095088|17.0594066|161.000015258789|33.7142857142857|13.7142857142857|41|236.0|96.0|290|7|C-16|2025-06-24 10:11:22.899479|#E4A316
43||51.1096029449923|17.0594016551499|124.051612962897|23.0|19.5|42|46.0|39.0|85|2|Politechnika Wrocławska|2025-06-24 10:04:04.553044|#B22D2D
